,,Design Name:,Temperature_Indicator_Project
,,Pricing Timestamp:,"Wednesday, February 18, 2015 8:05 PM"
,,Cost per Unit (based on 3 units):,$2.02

Item #,Qty,Reference Designator,Manufacturer,Manufacturer Part #,Description,Package,Supplier 1,Supplier 1 SKU,Supplier 1 Price/Unit,Supplier 1 Extended Price,Notes
"1","1","U3","Microchip","MCP9701AT-E/TT","IC SENSOR THERMAL 3.1V SOT23-3","","Future Electronics","MCP9701AT-E/TT","0.25","0.25","Lead Free, RoHS Compliant, Lifecycle Status Active"
"2","1","C1","Taiyo Yuden","LMK107B7105KA-T","Cap Cer 1uf 10v 10% X7r 0603","'0603","Newark","77M8666","0.012","0.012","Lead Free, RoHS Compliant, Lifecycle Status Active"
"3","1","TP0","","","","","","","","",""
"4","1","TP5","","","","","","","","",""
"5","1","PinAdapter$15","","","","","","","","",""
"6","1","PinAdapter$15","","","","","","","","",""
"7","1","PinAdapter$15","","","","","","","","",""
"8","1","PinAdapter$15","","","","","","","","",""
"9","8","R2,
R3,
R4,
RB,
RG,
RO,
RR,
RY","Rohm","MCR03ERTJ181","RES SMD 180 OHM 5% 1/10W 0603","","Digi-Key","RHM180CGDKR-ND","0.01","0.08",""
"10","2","C2, C3","Samsung","CL10B103KO8NNNC","CAP CER 10000PF 16V 10% X7R 0603","'0603","Digi-Key","1276-1926-6-ND","0.1","0.2",", RoHS Compliant"
"11","1","J1","Harwin","M20-9990246","02 SIL Vertical Pin Header","","Newark","96K4235","0.065","0.065",", RoHS Compliant"
"12","1","D1","Lite-On","LTST-C191TBKT","SMT LED Blue, Clear 470nm","'0603","Mouser","859-LTST-C191TBKT","0.26","0.26","Lead Free, RoHS Compliant"
"13","1","D3","Lite-On","LTST-C191KSKT","LED SMT YEL CLR 0603 5K/TR","'0603","Future Electronics","LTST-C191KSKT","0.0703","0.0703","Lead Free, RoHS Compliant"
"14","1","D4","Lite-On","LTST-C191KFKT","SMT LED Orange, Clear 605nm","'0603","Mouser","859-LTST-C191KFKT","0.11","0.11","Lead Free, RoHS Compliant"
"15","1","D2","Lite-On","LTST-C191KGKT","SMT LED Green, Clear 571nm","'0603","Future Electronics","LTST-C191KGKT","0.0413","0.0413","Lead Free, RoHS Compliant"
"16","1","D5","Lite-On","LTST-C191KRKT","SMT LED Red, Clear 631nm","'0603","Mouser","859-LTST-C191KRKT","0.11","0.11","Lead Free, RoHS Compliant"
"17","1","PinAdapter$10","","","","","","","","",""
"18","1","PinAdapter$10","","","","","","","","",""
"19","1","PinAdapter$10","","","","","","","","",""
"20","1","PinAdapter$10","","","","","","","","",""
"21","1","PinAdapter$10","","","","","","","","",""
"22","1","PinAdapter$10","","","","","","","","",""
"23","1","PinAdapter$10","","","","","","","","",""
"24","1","PinAdapter$10","","","","","","","","",""
"25","1","PinAdapter$5","","","","","","","","",""
"26","1","PinAdapter$5","","","","","","","","",""
"27","1","U2","Fairchild Semiconductor","74VHC14MTCX","QUAD 2 INPUT NAND GATE (S.O.)","TSSOP-14","Newark","78K6373","0.102","0.102","Lead Free, RoHS Compliant, Lifecycle Status Active"
"28","5","R1, R6, R7, R8, R9","Rohm","MCR03ERTJ682","RES SMD 6.8K OHM 5% 1/10W 0603","","Digi-Key","RHM6.8KCGCT-ND","0.01","0.05",""
"29","1","PinAdapter","","","","","","","","",""
"30","1","PinAdapter","","","","","","","","",""
"31","1","PinAdapter","","","","","","","","",""
"32","1","PinAdapter","","","","","","","","",""
"33","1","PinAdapter","","","","","","","","",""
"34","1","U1","Texas Instruments","LM139DR","IC QUAD DIFF COMPARATOR 14-SOIC","SOIC-14","Newark","28X4322","0.574","0.574","Lead Free, RoHS Compliant, Lifecycle Status Active"
"35","1","PinAdapter$19","","","","","","","","",""
"36","1","PinAdapter$19","","","","","","","","",""
"37","1","TP2","","","","","","","","",""
"38","1","PinAdapter$19","","","","","","","","",""
"39","1","PinAdapter$19","","","","","","","","",""
"40","1","TP4","","","","","","","","",""
"41","1","PinAdapter$19","","","","","","","","",""
"42","1","PinAdapter$19","","","","","","","","",""
"43","1","TP3","","","","","","","","",""
"44","1","R5","Rohm","MCR03ERTF1271","RES SMD 1.27K OHM 1% 1/10W 0603","","Digi-Key","RHM1.27KCFDKR-ND","0.1","0.1",""
"45","1","TP1","","","","","","","","",""
"46","1","FD1","","","","","","","","",""
"47","1","FD2","","","","","","","","",""
"48","1","FD3","","","","","","","","",""
"49","1","FD6","","","","","","","","",""
"50","1","FD4","","","","","","","","",""
"51","1","FD5","","","","","","","","",""
